fold,train_n,test_n,test_true,test_false,train_mean_D,train_mean_H,scale,lambda,effective_H_coefficient,lambda_at_upper_boundary,train_deletion_auroc,train_combined_auroc,test_deletion_auroc,test_combined_auroc,absolute_improvement,relative_improvement_percent,difference_ci95_low,difference_ci95_high,delong_p_two_sided,delong_difference_se,deletion_ci95_low,deletion_ci95_high,combined_ci95_low,combined_ci95_high
1,1046,262,173,89,0.03552528395171935,0.0012622897965326773,28.14352460845523,1.04,-29.26926559279344,False,0.4877177984041687,0.5077837485751506,0.5008118464635968,0.5030850165616678,0.0022731700980710423,0.45389703021657163,-0.09905845319613829,0.10360479339228038,0.9649300474996779,0.05170075781672533,0.42450839369524773,0.5771152992319458,0.42921941263953284,0.5769506204838029
2,1046,262,173,89,0.03721278192230951,0.0011173428453050964,33.30471222747067,0.84,-27.97595827107536,False,0.49342533789285137,0.5043803940726266,0.4757420276677275,0.5162044554133922,0.04046242774566472,8.505119453924909,-0.06702135472160453,0.14794621021293397,0.46061695823735516,0.054839672215962955,0.39962845379068623,0.5518556015447688,0.439769546230361,0.5926393645964234
3,1046,262,173,89,0.03675725094440774,0.0016012960592977114,22.954687692498634,1.27,-29.152453369473267,False,0.4880394072626608,0.5163898387884709,0.4980190946288238,0.4724296940962525,-0.025589400532571305,-5.1382368283776785,-0.1385567546009963,0.0873779535358537,0.6570630753915256,0.057637464238882496,0.4212721336359442,0.5747660556217035,0.39522885000381003,0.549630538188695
4,1047,261,172,89,0.0365059127997312,0.0007807228284185223,46.75912048540928,0.0,-0.0,False,0.5046870680824078,0.5046870680824078,0.4330415469035798,0.4330415469035798,0.0,0.0,0.0,0.0,1.0,0.0,0.35750363444634914,0.5085794593608105,0.35750363444634914,0.5085794593608105
5,1047,261,172,89,0.036002220039814944,0.0015794287586302948,22.79445644071761,2.07,-47.18452483228545,False,0.4766947430039513,0.5035244475519927,0.5444212176639666,0.5135876665795662,-0.030833551084400335,-5.6635469162467045,-0.14190670955085538,0.08023960738205471,0.5863866358673993,0.056671020152709924,0.46826861486819354,0.6205738204597396,0.4384580670418054,0.588717266117327
