row,stim_idx,edit_type,word_orig,in_ctx,in_full_prefix,d_own,d_pos2,d_foreign,d_noinj
133,40,corrupt,"europium,",True,True,22.99258463829756,32.139383263885975,-7.868894577026367,0.3597164154052734
134,40,corrupt,europium,True,True,18.8124960497953,25.999998899642375,-5.360774993896484,-1.5102643966674805
135,40,corrupt,chemical,False,True,9.312499701976776,6.437499523162842,-5.28125,-2.3203125
136,40,corrupt_det,"(""Properties",True,True,30.81645441055298,9.486812591552734,5.956663131713867,3.702329635620117
137,41,corrupt_det,"""Bulleted",False,False,9.97627568244934,5.107366561889648,3.4377975463867188,5.7656450271606445
140,41,corrupt_det,"'Context'.""",False,False,6.097993850708008,-4.523660659790039,1.029155731201172,0.1282539367675781
141,41,corrupt,"""fact",False,False,5.9375001192092896,1.9375,6.75,-5.9375
143,41,corrupt,"intent?""",False,False,3.2416210174560547,0.1830167770385742,-0.9577465057373048,-1.160536766052246
143,41,corrupt_det,"""What",False,False,7.984373092651367,4.015625,3.71875,4.84375
144,42,corrupt,NES,False,False,0.1875,0.8125,3.83984375,0.7265625
144,42,corrupt_det,NES,False,False,22.17387878894806,18.638988494873047,11.5074462890625,6.207328796386719
145,42,corrupt_det,"""Once",False,False,11.90625,3.375,-4.0,-7.3125
146,42,corrupt,"""world""",False,False,28.958938121795654,1.8089485168457031,-9.273818969726562,3.292941093444824
147,43,corrupt,"""Darkwolf,""",False,False,16.27108335494995,3.431443214416504,1.15704345703125,0.0077018737792968
147,43,corrupt_det,"""Darkwolf,""",False,False,12.864108562469482,2.572068214416504,-11.26565933227539,-5.383272171020508
148,43,corrupt_det,"""His",False,True,11.124096512794496,11.433733463287354,2.141855239868164,7.644464492797852
150,44,corrupt,gangster's,False,False,16.47282123565674,-2.726419448852539,-1.593062400817871,0.245706558227539
152,44,corrupt_det,"(""He",False,False,2.0000009536743164,1.8124980926513672,2.90625,3.71875
154,45,corrupt,"20""),",True,True,23.88709056377411,4.231287002563477,4.386144638061523,0.0964241027832031
