row,stim_idx,claim_idx,n_claims,is_last,has_det,error,cos_claim,cos_corrupt,cos_paraphrase,cos_corrupt_det,d_true_corrupt,d_true_para,d_para_corrupt,d_true_det
133,40,0,4,False,False,,0.4519898903422863,0.41566424994468654,0.48673780849549164,,0.03632564039759978,-0.034747918153205326,0.0710735585508051,
134,40,1,4,False,True,,0.4144790852839758,0.3915160982494455,0.48036046077492667,0.4144790852839758,0.022962987034530313,-0.06588137549095086,0.08884436252548117,0.0
135,40,2,4,False,False,,0.6840224342954345,0.6598313701991182,0.5142493138110954,,0.024191064096316328,0.16977312048433912,-0.1455820563880228,
136,40,3,4,True,True,,0.8030498641137136,0.7634218377722849,0.8033618720402682,0.7887031550809321,0.0396280263414287,-0.00031200792655461385,0.039940034267983315,0.014346709032781457
137,41,0,7,False,True,,0.6228410362812189,0.5958204255219447,0.5769777643628292,0.6089058001547657,0.0270206107592742,0.04586327191838968,-0.01884266115911548,0.013935236126453199
138,41,1,7,False,True,,0.6487333025334587,0.6292083793750709,0.6312734370532297,0.6487333025334587,0.01952492315838783,0.017459865480229042,0.002065057678158788,0.0
139,41,2,7,False,False,,0.5651944697678295,0.5700175814789684,0.5469705807270209,,-0.004823111711138917,0.018223889040808627,-0.023047000751947544,
140,41,3,7,False,True,,0.7278123330559797,0.7180231442028095,0.6646063704920996,0.7327403848855973,0.00978918885317015,0.06320596256388011,-0.053416773710709964,-0.004928051829617641
141,41,4,7,False,False,,0.48488883160018437,0.45423444850260863,0.5375868033775612,,0.030654383097575733,-0.052697971777376784,0.08335235487495252,
143,41,6,7,True,True,,0.7556160579577839,0.7454188515255857,0.7260910939385536,0.7529410086098348,0.010197206432198125,0.029524964019230215,-0.01932775758703209,0.0026750493479490434
144,42,0,3,False,True,,0.5283087064210858,0.5385886464858228,0.5249995054168326,0.5249321394997578,-0.010279940064736981,0.0033092010042532483,-0.01358914106899023,0.003376566921328039
