stim_idx,doc_idx,pos,variant,cos,cos_minus_V0
9,229,293,V5,0.7719798036943792,-0.01283785044565855
10,74,153,V5,0.853608672883199,-0.004807417008754311
11,399,348,V5,0.8824569741507786,-0.011354423967250282
12,457,211,V5,0.9381387428141813,-0.002032569406248963
13,117,290,V5,0.9193627024096453,-0.0027536359109364694
14,472,395,V5,0.9295387735208288,-0.0054586691249355335
15,454,435,V5,0.896268040607709,-0.0019981380571086893
16,167,60,V5,0.8893912728257569,0.007368641053076663
17,100,26,V5,0.9279550055049197,0.00035589111016864905
18,353,55,V5,0.8901740244105463,-0.0011876151067838903
19,592,254,V5,0.9092806478636422,-6.28106298424802e-05
20,270,216,V5,0.8642189737692042,-0.02247744746655944
21,459,18,V5,0.8814298621299375,-0.0026401601744600045
22,536,20,V5,0.8528368160604911,-0.00047292851103586386
23,83,276,V5,0.9216949475792848,-0.0007332940338157234
24,524,143,V5,0.9087044984114854,0.00456225566716284
25,18,394,V5,0.9069817235884413,-0.005633960111968372
26,134,244,V5,0.9152031497448216,0.009391329624025113
27,265,415,V5,0.9091291096915338,-0.004017113581926579
28,109,204,V5,0.8525060635736599,-0.009463165941684504
29,111,487,V5,0.812711746194168,0.019219972685964426
30,126,432,V5,0.8833122414740803,-0.0016554765146045147
31,442,365,V5,0.9267052785773583,-0.01280238937603917
32,545,450,V5,0.9640425905229468,0.00030659040962233153
33,168,303,V5,0.9286932420599795,0.00305519220514916
34,152,435,V5,0.8789818092935456,0.006852511704451114
35,228,202,V5,0.9384801183804324,0.002910777881428128
36,64,225,V5,0.8793366688015674,0.001637213016548733
37,171,372,V5,0.8605388274595949,0.0026847228313362503
38,244,52,V5,0.9019241567856223,-0.003870025738534455
39,51,279,V5,0.8947925012256179,0.005259493295239448
