stim_idx,doc_idx,split,token_type,entropy_nats,top1_prob,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,error,yn_true,yn_foreign,yn_conf,yn_torn,yn_true_noinj,yn_foreign_noinj,yn_conf_noinj,yn_torn_noinj,yn_true_swap,yn_foreign_swap,cc_true,cc_foreign,n_tok_true,n_tok_foreign,cc_true_pt,cc_foreign_pt,cc_true_swap,cc_foreign_swap,cc_true_swap_pt,cc_foreign_swap_pt,cc_true_noinj,cc_foreign_noinj,cc_true_noinj_pt,cc_foreign_noinj_pt,cc_true_corr,cc_foreign_corr
10,74,pilot,word_piece,2.0102651119232178,0.5152744650840759,"Galveston, Texas",Protein,110,False,,4.4375,0.9375,4.625,3.75,3.1875,2.625,2.4375,3.5625,2.0625,2.8125,-14.896613121032715,-24.897615432739258,5,1,-2.979322624206543,-24.897615432739258,-27.0362491607666,-11.898307800292969,-5.407249832153321,-11.898307800292969,-21.329978942871094,-17.597457885742188,-4.265995788574219,-17.597457885742188,6.433365821838379,-7.30015754699707
11,399,pilot,word_initial,2.725916624069214,0.2919479310512543,G.I. Joe: Retaliation,2013 – 14 York City F.C. season,111,False,,2.03125,2.25,3.8125,2.9375,2.5,2.0625,2.4375,3.5625,3.8125,4.25,-26.410764694213867,-97.69224548339844,8,15,-3.3013455867767334,-6.512816365559896,-44.61151123046875,-38.05351638793945,-5.576438903808594,-2.536901092529297,-32.51554870605469,-60.41678237915039,-4.064443588256836,-4.0277854919433596,6.10478401184082,-37.27546310424805
12,457,pilot,word_initial,3.95900559425354,0.190037727355957,"Strand, London",2 / 4th Machine Gun Battalion (Australia),112,False,,2.9375,2.03125,4.125,3.875,2.875,1.625,2.4375,3.5625,1.75,1.65625,-26.18004035949707,-107.84293365478516,3,12,-8.726680119832357,-8.986911137898764,-50.10790252685547,-51.646575927734375,-16.70263417561849,-4.303881327311198,-42.259029388427734,-66.1447982788086,-14.086343129475912,-5.51206652323405,16.078989028930664,-41.69813537597656
13,117,pilot,word_piece,0.3701225519180298,0.9318063259124756,USS Breese (DD-122),Hadji Ali,113,False,,3.3125,3.375,3.75,3.5,2.0625,2.8125,2.4375,3.5625,-0.5,0.5,-34.67531967163086,-48.99468994140625,10,3,-3.4675319671630858,-16.331563313802082,-46.75860595703125,-30.800613403320312,-4.675860595703125,-10.266871134440104,-35.90928268432617,-23.380685806274414,-3.5909282684326174,-7.793561935424805,1.2339630126953125,-25.614004135131836
14,472,pilot,word_initial,2.158792495727539,0.482130765914917,Bath Assembly Rooms,Christmas 1994 nor 'easter,114,False,,4.3125,1.84375,4.4375,3.84375,2.875,1.4375,2.4375,3.5625,2.1875,0.1875,-24.9853572845459,-97.77184295654297,3,10,-8.328452428181967,-9.777184295654298,-56.128883361816406,-69.6124496459961,-18.709627787272137,-6.96124496459961,-42.03211212158203,-62.608192443847656,-14.010704040527344,-6.2608192443847654,17.046754837036133,-35.16365051269531
15,454,pilot,word_initial,0.9287801384925842,0.7803570628166199,Odyssey Number Five,Clocks (song),115,False,,2.0625,1.625,3.0,3.0,3.0,3.125,2.4375,3.5625,2.09375,1.71875,-39.116004943847656,-38.74814987182617,3,5,-13.038668314615885,-7.749629974365234,-36.042083740234375,-31.846315383911133,-12.014027913411459,-6.369263076782227,-38.05774688720703,-35.0407829284668,-12.68591562906901,-7.008156585693359,-1.058258056640625,-3.707366943359375
16,167,pilot,punctuation,1.9025710821151731,0.4528270363807678,Harold Innis,Trials and Tribble-ations,116,False,,2.625,1.1875,4.0625,3.0,3.1875,2.875,2.4375,3.5625,2.5625,2.5,-13.355124473571777,-54.9419059753418,3,6,-4.451708157857259,-9.156984329223633,-29.954465866088867,-38.34501266479492,-9.984821955362955,-6.390835444132487,-22.427730560302734,-47.947235107421875,-7.475910186767578,-7.9912058512369795,9.072606086730957,-6.994670867919922
17,100,pilot,word_initial,0.0073320255614817,0.9992210865020752,World War Z,Marauders (Star Trek: Enterprise),117,False,,2.125,1.5625,2.6875,2.0625,3.125,2.625,2.4375,3.5625,2.9375,2.8125,-18.613101959228516,-44.46857452392578,3,9,-6.204367319742839,-4.940952724880642,-22.410099029541016,-37.43206787109375,-7.470033009847005,-4.15911865234375,-24.323402404785156,-43.60308837890625,-8.107800801595053,-4.84478759765625,5.710300445556641,-0.8654861450195312
18,353,pilot,word_initial,0.9795437455177308,0.6917588710784912,Boise National Forest,Sang Pencerah,118,False,,2.25,1.625,2.75,2.125,2.875,2.6875,2.4375,3.5625,1.125,1.875,-24.70947265625,-63.94188690185547,3,4,-8.236490885416666,-15.985471725463867,-46.03472137451172,-42.466434478759766,-15.34490712483724,-10.616608619689941,-29.676652908325195,-47.55198669433594,-9.892217636108398,-11.887996673583984,4.967180252075195,-16.38990020751953
19,592,pilot,word_initial,3.5610437393188477,0.2699418067932129,"Richard Nixon presidential campaign, 1968",Mogadishu,119,False,,0.3125,-0.0625,1.8125,0.8125,2.0625,3.0,2.4375,3.5625,0.5,1.78125,-41.78071212768555,-27.99607276916504,10,4,-4.178071212768555,-6.99901819229126,-72.69859313964844,-16.052358627319336,-7.269859313964844,-4.013089656829834,-45.535362243652344,-22.140010833740234,-4.553536224365234,-5.535002708435059,3.754650115966797,-5.856061935424805
20,270,pilot,punctuation,2.0040857791900635,0.573467493057251,Battle of Hubbardton,Chapter 1 (House of Cards),120,False,,4.53125,3.9375,3.9375,3.875,3.0,2.6875,2.4375,3.5625,2.375,1.8125,-27.425148010253906,-48.23006820678711,4,8,-6.856287002563477,-6.028758525848389,-45.46116256713867,-36.56363296508789,-11.365290641784668,-4.570454120635986,-26.66017723083496,-35.618797302246094,-6.66504430770874,-4.452349662780762,-0.7649707794189453,-12.611270904541016
21,459,pilot,punctuation,0.0113097410649061,0.9987207055091858,Dave Sisler,The Stolen Eagle,121,False,,2.625,2.6875,2.75,2.6875,2.9375,3.125,2.4375,3.5625,1.6875,1.75,-30.912988662719727,-37.36763000488281,4,4,-7.728247165679932,-9.341907501220703,-34.60279083251953,-33.57530212402344,-8.650697708129883,-8.39382553100586,-30.87388801574707,-35.65525817871094,-7.718472003936768,-8.913814544677734,-0.03910064697265625,-1.712371826171875
22,536,pilot,word_initial,2.6546504497528076,0.2423190027475357,"George Calvert, 1st Baron Baltimore",History of Braathens SAFE (1946 – 93),122,False,,2.4375,2.0,2.4375,2.5625,1.8125,1.4375,2.4375,3.5625,1.5625,2.34375,-19.624786376953125,-111.7757568359375,9,16,-2.1805318196614585,-6.985984802246094,-57.85902404785156,-85.09241485595703,-6.428780449761285,-5.3182759284973145,-33.67960739135742,-104.58206176757812,-3.7421785990397134,-6.536378860473633,14.054821014404297,-7.193695068359375
23,83,pilot,word_initial,2.0269291400909424,0.4743763506412506,Hemmema,Loverboy (Mariah Carey song),123,False,,2.0,1.3125,2.875,2.5,2.875,2.5625,2.4375,3.5625,1.03125,0.46875,-40.72607421875,-71.7115249633789,3,8,-13.575358072916666,-8.963940620422363,-47.27448272705078,-43.374977111816406,-15.758160909016928,-5.421872138977051,-39.04926300048828,-44.121028900146484,-13.01642100016276,-5.5151286125183105,-1.6768112182617188,-27.590496063232422
24,524,pilot,word_initial,0.3472168147563934,0.9585904479026794,Far Away Places (Mad Men),Stefan Wever,124,False,,0.75,0.9375,2.4375,1.6875,2.9375,3.0,2.4375,3.5625,2.75,3.25,-53.40913009643555,-35.955020904541016,7,3,-7.629875728062221,-11.985006968180338,-70.3526382446289,-37.76386642456055,-10.050376892089844,-12.587955474853516,-50.65285110473633,-29.45976448059082,-7.236121586390904,-9.819921493530273,-2.7562789916992188,-6.495256423950195
25,18,pilot,word_initial,2.9643795490264893,0.3092239201068878,John Cullen,Corpus Christi Bay,125,False,,1.28125,1.75,3.125,2.5625,2.875,2.875,2.4375,3.5625,4.0,4.1875,-21.746356964111328,-28.930339813232422,3,4,-7.248785654703776,-7.2325849533081055,-26.392436981201172,-22.964473724365234,-8.797478993733725,-5.741118431091309,-25.421672821044922,-27.749265670776367,-8.473890940348307,-6.937316417694092,3.6753158569335938,-1.1810741424560547
26,134,pilot,word_initial,2.4979560375213623,0.2783614993095398,Mega Man & Bass,1998 National League Wild Card tie-breaker game,126,False,,3.46875,2.8125,4.3125,2.90625,3.25,2.1875,2.4375,3.5625,4.625,4.6875,-31.288179397583008,-75.24531555175781,4,13,-7.822044849395752,-5.7881011962890625,-61.59642028808594,-59.3277702331543,-15.399105072021484,-4.563674633319561,-43.02287673950195,-64.76164245605469,-10.755719184875488,-4.981664804311899,11.734697341918945,-10.483673095703125
27,265,pilot,word_initial,0.0843539163470268,0.9838617444038392,Rio de Janeiro bid for the 2016 Summer Olympics,The Good Terrorist,127,False,,3.5,2.8125,3.6875,2.375,2.125,3.25,2.4375,3.5625,3.5625,4.3125,-28.1013240814209,-42.75782775878906,13,4,-2.161640313955454,-10.689456939697266,-68.1648941040039,-34.030540466308594,-5.243453392615685,-8.507635116577148,-41.90888214111328,-29.14556121826172,-3.2237601647010217,-7.28639030456543,13.807558059692383,-13.612266540527344
28,109,pilot,word_piece,0.0097101535648107,0.9991324543952942,The Importance of Being Earnest,Arikamedu,128,False,,0.125,0.125,0.375,1.0625,2.875,2.6875,2.4375,3.5625,0.1875,1.375,-29.750513076782227,-40.252647399902344,6,4,-4.958418846130371,-10.063161849975586,-56.00716781616211,-22.098655700683594,-9.334527969360352,-5.524663925170898,-27.099166870117188,-25.33966827392578,-4.516527811686198,-6.334917068481445,-2.651346206665039,-14.912979125976562
29,111,pilot,word_initial,0.0005905817379243,0.9999544620513916,HMS Boreas (H77),"West Hendford Cricket Ground, Yeovil",129,False,,2.1875,1.4375,2.625,1.6875,2.1875,1.8125,2.4375,3.5625,1.71875,1.84375,-43.68226623535156,-76.70133209228516,9,9,-4.853585137261285,-8.522370232476128,-55.925411224365234,-70.0111312866211,-6.213934580485026,-7.779014587402344,-42.35982131958008,-73.92955017089844,-4.7066468132866754,-8.214394463433159,-1.3224449157714844,-2.7717819213867188
30,126,pilot,word_initial,0.7587460875511169,0.7352622747421265,St Nazaire Raid,Johnson – Corey – Chaykovsky reaction,130,False,,4.0,2.625,4.0625,2.9375,2.9375,1.5,2.4375,3.5625,2.875,2.78125,-33.60936737060547,-100.73445129394531,4,9,-8.402341842651367,-11.192716810438368,-47.19976806640625,-60.630001068115234,-11.799942016601562,-6.736666785346137,-38.29673767089844,-90.62146759033203,-9.57418441772461,-10.069051954481337,4.687370300292969,-10.112983703613281
31,442,pilot,word_initial,2.536816120147705,0.3855282068252563,Ouw Peh Tjoa,Hydnellum peckii,131,False,,1.03125,1.25,2.3125,2.0625,2.1875,2.5,2.4375,3.5625,2.25,2.375,-68.65684509277344,-57.316253662109375,7,7,-9.808120727539062,-8.188036237444196,-61.823570251464844,-38.899810791015625,-8.83193860735212,-5.557115827287946,-56.0399284362793,-38.29952621459961,-8.005704062325615,-5.4713608877999445,-12.61691665649414,-19.016727447509766
