context_id,pair_id,split,family,slot_type,version,name_overlap,cos_hA_hB,n_candidate_slots,n_asserting,av_asserts,eligible,ineligible_reason,slot_id,av_asserts_mismatch,swap_valid,has_swap_data,s_carrier_hA,s_carrier_hB,in_primary,primary_exclusion,D,D_orig,both_sides_correct,both_sides_correct_orig,mu_A_hA,mu_B_hA,mu_A_hB,mu_B_hB,o_A_hA,o_B_hA,o_A_hB,o_B_hB,deletion_delta_own,n_par_A,n_par_B
F2T2f2A,F2T2f2,eval,2,detail,A,False,0.9924115940129395,1,0,,False,omission,,False,False,False,0.836783604960838,0.8390804184740757,False,omission,,,,,,,,,,,,,,,
F2T2f2B,F2T2f2,eval,2,detail,B,False,0.9924115940129395,0,0,,False,omission,,False,False,False,0.8270275133956803,0.8342748103145032,False,omission,,,,,,,,,,,,,,,
F2T2f3A,F2T2f3,eval,2,detail,A,False,0.9954891143244043,0,0,,False,omission,,False,False,False,0.8341169473918719,0.83411667741305,False,omission,,,,,,,,,,,,,,,
F2T2f3B,F2T2f3,eval,2,detail,B,False,0.9954891143244043,0,0,,False,omission,,False,False,False,0.8215324168610991,0.8219912687860584,False,omission,,,,,,,,,,,,,,,
F3T1f0A,F3T1f0,dev,3,detail,A,False,0.9992036625529316,0,0,,False,omission,,False,False,False,0.8749915027027922,0.8760074128125719,False,omission,,,,,,,,,,,,,,,
F3T1f0B,F3T1f0,dev,3,detail,B,False,0.9992036625529316,1,0,,False,omission,,False,False,False,0.8632962775687546,0.8651102618638242,False,omission,,,,,,,,,,,,,,,
F3T1f1A,F3T1f1,eval,3,detail,A,False,0.9981486995953476,0,0,,False,omission,,False,False,False,0.8531932237853144,0.8554506997175048,False,omission,,,,,,,,,,,,,,,
F3T1f1B,F3T1f1,eval,3,detail,B,False,0.9981486995953476,0,0,,False,omission,,False,False,False,0.8388568837846662,0.8392972834986288,False,omission,,,,,,,,,,,,,,,
F3T1f2A,F3T1f2,eval,3,detail,A,False,0.9989388011654676,1,0,,False,omission,,False,False,False,0.8273970815625041,0.8266563594172246,False,omission,,,,,,,,,,,,,,,
F3T1f2B,F3T1f2,eval,3,detail,B,False,0.9989388011654676,1,0,,False,omission,,False,False,False,0.8504158702265122,0.8507213335923325,False,omission,,,,,,,,,,,,,,,
F3T1f3A,F3T1f3,eval,3,detail,A,False,0.9973396816974056,0,0,,False,omission,,False,False,False,0.8569200208898008,0.8542589822029761,False,omission,,,,,,,,,,,,,,,
F3T1f3B,F3T1f3,eval,3,detail,B,False,0.9973396816974056,0,0,,False,omission,,False,False,False,0.8596384124868433,0.8585954587988683,False,omission,,,,,,,,,,,,,,,
F3T2f0A,F3T2f0,dev,3,detail,A,False,0.9962521713408636,1,0,,False,omission,,False,False,False,0.8342053815910195,0.8258276925835925,False,omission,,,,,,,,,,,,,,,
F3T2f0B,F3T2f0,dev,3,detail,B,False,0.9962521713408636,0,0,,False,omission,,False,False,False,0.8642350357566206,0.8620816230166756,False,omission,,,,,,,,,,,,,,,
F3T2f1A,F3T2f1,eval,3,detail,A,False,0.9969835464726604,0,0,,False,omission,,False,False,False,0.871907631371296,0.8699546324880096,False,omission,,,,,,,,,,,,,,,
F3T2f1B,F3T2f1,eval,3,detail,B,False,0.9969835464726604,0,0,,False,omission,,False,False,False,0.8571022594958863,0.8557694886829319,False,omission,,,,,,,,,,,,,,,
F3T2f2A,F3T2f2,eval,3,detail,A,False,0.9932903860924563,0,0,,False,omission,,False,False,False,0.8637465568661112,0.8580033803169422,False,omission,,,,,,,,,,,,,,,
F3T2f2B,F3T2f2,eval,3,detail,B,False,0.9932903860924563,0,0,,False,omission,,False,False,False,0.8753343321926337,0.8754639027551789,False,omission,,,,,,,,,,,,,,,
F3T2f3A,F3T2f3,eval,3,detail,A,False,0.99545760349378,0,0,,False,omission,,False,False,False,0.8530178025443447,0.8514233322186281,False,omission,,,,,,,,,,,,,,,
F3T2f3B,F3T2f3,eval,3,detail,B,False,0.99545760349378,0,0,,False,omission,,False,False,False,0.8346391173410626,0.8379051262807112,False,omission,,,,,,,,,,,,,,,
F4T1f0A,F4T1f0,dev,4,detail,A,False,0.9675970037457824,0,0,,False,omission,,False,False,False,0.8229024295586558,0.8407357225842146,False,omission,,,,,,,,,,,,,,,
F4T1f0B,F4T1f0,dev,4,detail,B,False,0.9675970037457824,0,0,,False,omission,,False,False,False,0.8049401702085909,0.8364763810037246,False,omission,,,,,,,,,,,,,,,
F4T1f1A,F4T1f1,eval,4,detail,A,False,0.979295412193887,0,0,,False,omission,,False,False,False,0.8330064046433693,0.8253998928372054,False,omission,,,,,,,,,,,,,,,
F4T1f1B,F4T1f1,eval,4,detail,B,False,0.979295412193887,1,0,,False,omission,,False,False,False,0.8479793421935461,0.858436440097228,False,omission,,,,,,,,,,,,,,,
F4T1f2A,F4T1f2,eval,4,detail,A,False,0.981782400308402,0,0,,False,omission,,False,False,False,0.8200732501078326,0.8164354870014928,False,omission,,,,,,,,,,,,,,,
F4T1f2B,F4T1f2,eval,4,detail,B,False,0.981782400308402,0,0,,False,omission,,False,False,False,0.8297382392397851,0.8435249057074299,False,omission,,,,,,,,,,,,,,,
F4T1f3A,F4T1f3,eval,4,detail,A,False,0.9823563841532078,0,0,,False,omission,,False,False,False,0.8344914626161648,0.8329456912637901,False,omission,,,,,,,,,,,,,,,
F4T1f3B,F4T1f3,eval,4,detail,B,False,0.9823563841532078,0,0,,False,omission,,False,False,False,0.8247424628941259,0.8320277617668811,False,omission,,,,,,,,,,,,,,,
F4T2f0A,F4T2f0,dev,4,detail,A,False,0.9913781175846548,0,0,,False,omission,,False,False,False,0.8495281040477566,0.8454195901671621,False,omission,,,,,,,,,,,,,,,
F4T2f0B,F4T2f0,dev,4,detail,B,False,0.9913781175846548,0,0,,False,omission,,False,False,False,0.832369679282287,0.834506353461936,False,omission,,,,,,,,,,,,,,,
F4T2f1A,F4T2f1,eval,4,detail,A,False,0.9903229526715842,0,0,,False,omission,,False,False,False,0.8693877459858556,0.8768226120704142,False,omission,,,,,,,,,,,,,,,
F4T2f1B,F4T2f1,eval,4,detail,B,False,0.9903229526715842,0,0,,False,omission,,False,False,False,0.8503721498286407,0.8587132140722509,False,omission,,,,,,,,,,,,,,,
F4T2f2A,F4T2f2,eval,4,detail,A,False,0.9940185023200984,0,0,,False,omission,,False,False,False,0.8649424509363554,0.8704264855662475,False,omission,,,,,,,,,,,,,,,
F4T2f2B,F4T2f2,eval,4,detail,B,False,0.9940185023200984,0,0,,False,omission,,False,False,False,0.8636951114979641,0.869622389095664,False,omission,,,,,,,,,,,,,,,
F4T2f3A,F4T2f3,eval,4,detail,A,False,0.9877033153523084,0,0,,False,omission,,False,False,False,0.8196572896981562,0.8287702572744837,False,omission,,,,,,,,,,,,,,,
F4T2f3B,F4T2f3,eval,4,detail,B,False,0.9877033153523084,0,0,,False,omission,,False,False,False,0.8218907812055338,0.8286249651734462,False,omission,,,,,,,,,,,,,,,
